Ano,Número de queimadas em Piracicaba,Material Particulado (PM10) µg/m3,Material Particulado (PM2.5) µg/m3,Óxidos de nitrogênio (NO) µg/m3,Óxidos de nitrogênio (NO₂),Óxidos de nitrogênio (NOₓ),Ozônio (O₃) µg/m3,Temperatura média do ar (°C),Umidade relativa do ar (%),"Velocidade e direção do vento (m/s, °)",Número de dias com chuva,Precipitação (mm),Quantidade de cana produzida (Toneladas)
2013,20,"36,5","14,5",6,"24,5",18,"40,5","21,7",76,"2,1",12,"127,8",4224000
2014,27,39,"14,5","3,5",22,15,54,"23,35",69,"2,25",10,"53,6",2956800
2015,4,"33,5","12,5",4,15,11,"45,5","23,15","74,5","2,1",13,"100,6",3185000
2016,25,"31,5",12,"3,5",16,11,"45,5","23,15","70,5","2,15",15,"180,6",3185000
2017,36,28,"11,5","2,5","15,5",10,"41,5","23,75","75,5","2,1","11,5",111,3185000
2018,33,"28,5",12,"2,5",14,"9,5","44,5","23,6",72,"2,35",11,"75,4",3283000
2019,25,31,"12,5","2,5","14,5","9,5","44,5","24,05","71,5","1,8",13,"110,6",3120000
2020,49,34,13,3,"14,5",10,"40,5","23,95",68,"2,1",8,"56,8",3120000
2021,65,29,"11,5",3,18,12,40,"23,3","68,5","2,1",,,2880000
2022,19,"29,5",11,"2,5",14,"9,5","37,5","23,2","68,5","2,1","8,5",46,3120000
2023,12,"31,5",12,2,"14,5","10,5",35,"24,4",74,"2,05","10,5","72,7",3120000
